City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Butaritari,KI,81.23,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
7,Rikitea,PF,76.64,clear sky,-23.1203,-134.9692,People ThankYou
8,San Policarpo,PH,84.76,scattered clouds,12.1791,125.5072,Agapita M. Nicart
14,Tezu,IN,71.28,light rain,27.9167,96.1667,Circuit House
19,Saint-Pierre,RE,79.92,broken clouds,-21.3393,55.4781,Alize Plage
22,Meulaboh,ID,87.15,broken clouds,4.1363,96.1285,Kost Pria
24,Puerto Ayora,EC,71.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Arraial Do Cabo,BR,72.66,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Lorengau,PG,84.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Breves,BR,73.02,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
39,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
40,Pizarro,CO,77.99,moderate rain,4.9533,-77.366,Hotel Limonar
44,Chippewa Falls,US,80.78,broken clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
50,Sao Filipe,CV,72.81,overcast clouds,14.8961,-24.4956,Hotel Xaguate
51,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
52,Kirakira,SB,82.42,scattered clouds,-10.4544,161.9205,SanBiz Lodge
53,Impfondo,CG,76.01,broken clouds,1.6381,18.0667,Auberge La Place de Jules
55,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Nueva Guinea,NI,73.33,broken clouds,11.6876,-84.4562,Posadita La Reyna
61,Ca Mau,VN,92.32,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
68,Dingle,PH,92.7,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
70,Ilam,NP,77.36,broken clouds,26.9167,87.9167,चियाबारी कटेज
76,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
77,Muisne,EC,76.87,light rain,0.6,-80.0333,Quinta Samay
79,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
