City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Misratah,LY,2022-05-13 05:52:17,32.3754,15.0925,64.9,67,5,8.79,clear sky
1,Hofn,IS,2022-05-13 05:52:18,64.2539,-15.2082,36.3,59,100,22.3,overcast clouds
2,Los Llanos De Aridane,ES,2022-05-13 06:02:01,28.6585,-17.9182,62.35,91,75,6.91,broken clouds
3,Dmytrivka,UA,2022-05-13 05:52:19,45.9717,28.9864,74.34,53,2,7.67,clear sky
4,Christchurch,NZ,2022-05-13 05:58:04,-43.5333,172.6333,52.95,82,98,6.91,overcast clouds
5,Killarney,IE,2022-05-13 06:02:02,52.05,-9.5167,52.23,82,100,9.55,overcast clouds
6,Butaritari,KI,2022-05-13 05:52:20,3.0707,172.7902,81.23,73,100,11.7,overcast clouds
7,Rikitea,PF,2022-05-13 06:02:03,-23.1203,-134.9692,76.64,74,10,20.58,clear sky
8,San Policarpo,PH,2022-05-13 06:02:03,12.1791,125.5072,84.76,70,44,11.68,scattered clouds
9,Bredasdorp,ZA,2022-05-13 05:52:22,-34.5322,20.0403,54.73,89,67,5.99,broken clouds
10,Agirish,RU,2022-05-13 05:52:22,61.9247,63.0231,61.59,36,49,10.4,scattered clouds
11,Yellowknife,CA,2022-05-13 05:52:23,62.456,-114.3525,41.52,70,20,10.36,few clouds
12,Paita,PE,2022-05-13 05:52:23,-5.0892,-81.1144,66.15,83,86,10.45,overcast clouds
13,Busselton,AU,2022-05-13 05:52:24,-33.65,115.3333,60.26,58,90,16.64,overcast clouds
14,Tezu,IN,2022-05-13 05:52:24,27.9167,96.1667,71.28,97,100,5.17,light rain
15,Severo-Kurilsk,RU,2022-05-13 05:52:25,50.6789,156.125,41.95,87,68,8.61,broken clouds
16,Plouzane,FR,2022-05-13 05:52:26,48.3833,-4.6167,50.05,100,100,3.44,fog
17,New Norfolk,AU,2022-05-13 05:52:26,-42.7826,147.0587,59.72,70,79,2.66,broken clouds
18,Molteno,ZA,2022-05-13 05:52:27,-31.3968,26.3625,48.87,40,0,6.2,clear sky
19,Saint-Pierre,RE,2022-05-13 05:52:28,-21.3393,55.4781,79.92,57,75,9.22,broken clouds
20,Codrington,AU,2022-05-13 05:52:28,-38.2667,141.9667,66.38,67,100,7.31,overcast clouds
21,Punta Arenas,CL,2022-05-13 05:52:29,-53.15,-70.9167,35.71,93,75,8.05,broken clouds
22,Meulaboh,ID,2022-05-13 05:52:29,4.1363,96.1285,87.15,62,69,5.5,broken clouds
23,College,US,2022-05-13 05:52:30,64.8569,-147.8028,39.18,93,100,9.22,light rain
24,Puerto Ayora,EC,2022-05-13 05:52:30,-0.7393,-90.3518,71.55,96,21,6.35,few clouds
25,Ushuaia,AR,2022-05-13 05:52:31,-54.8,-68.3,42.46,93,75,0.0,broken clouds
26,Arraial Do Cabo,BR,2022-05-13 05:52:31,-22.9661,-42.0278,72.66,75,92,8.57,overcast clouds
27,Kodiak,US,2022-05-13 05:52:32,57.79,-152.4072,45.91,66,0,0.0,clear sky
28,Talnakh,RU,2022-05-13 05:52:32,69.4865,88.3972,40.21,100,100,10.18,overcast clouds
29,Hobart,AU,2022-05-13 05:50:08,-42.8794,147.3294,60.26,76,75,5.75,broken clouds
30,Lorengau,PG,2022-05-13 05:52:33,-2.0226,147.2712,84.81,64,86,6.46,overcast clouds
31,Sabha,LY,2022-05-13 05:52:34,27.0377,14.4283,65.5,52,0,11.81,clear sky
32,Lebu,CL,2022-05-13 05:52:34,-37.6167,-73.65,50.0,87,14,10.29,few clouds
33,Albany,US,2022-05-13 05:52:35,42.6001,-73.9662,65.68,81,65,4.79,broken clouds
34,Fortuna,US,2022-05-13 05:52:35,40.5982,-124.1573,52.92,85,100,13.8,overcast clouds
35,Breves,BR,2022-05-13 05:52:36,-1.6822,-50.4803,73.02,98,100,2.62,overcast clouds
36,Port Elizabeth,ZA,2022-05-13 05:50:59,-33.918,25.5701,60.31,75,0,6.91,clear sky
37,Broome,US,2022-05-13 05:52:37,42.2506,-75.833,63.64,78,33,3.6,scattered clouds
